Matériel,Catégorie,Durée utilisation,Quantité,No série,,
Appareil protection respiratoire,Protection respiratoire,Non,Oui,Non,,
Aspirateur à eau,Pompage,Oui,Oui,Non,,
Bouteille d'air respirable 9l,Protection respiratoire,Non,Oui,Non,,
Bouteille d'air technique 6l,Technique,Non,Oui,Non,,
Bouteille d’oxygène 200 bar, 2l,Protection respiratoire,Non,Oui,Non,,
Cagoule de sauvetage,Protection respiratoire,Non,Oui,Non,,
Caméra thermique,Mesures,Oui,Oui,Non,,
Détecteur multigaz,Mesures,Oui,Oui,Non,,
Génératrice,Technique,Oui,Oui,Non,,
Motopompe,Pompage,Oui,Oui,Non,,
Pompe à immersion,Pompage,Oui,Oui,Non,,
RVE,Ventilation,Oui,Oui,Non,,
RVT,Ventilation,Oui,Oui,Non,,
Ventilateur électrique,Ventilation,Oui,Oui,Non,,
Ventilateur thermique,Ventilation,Oui,Oui,Non,,
Remorque carburant,Divers,Oui,Oui,Non,,
Extincteur CO2,Extinction,Non,Oui,Oui,,
Extincteur LW,Extinction,Non,Oui,Oui,,
Extincteur poudre,Extinction,Non,Oui,Oui,,
Mouillant,Extinction,Non,Oui,Non,,
Moussant,Extinction,Non,Oui,Non,,